Aliment,Calories,Fibres,Glucides,Gras,IG,CG,Proteines,Famille_regroupee
Pastis,274.0,0.0,2.86,0.0,50.0,1.4,0.0,Boissons
"Bigorneau, cuit",85.0,0.0,0.0,3.5,50.0,0.0,18.0,Produits animaux
"Calmar ou calamar ou encornet, cru",77.0,0.0,2.17,1.19,50.0,1.1,15.6,Produits animaux
"Calmar ou Calamar ou encornet, é la romaine (beignet)",252.0,1.66,21.2,14.4,50.0,10.6,15.5,Produits animaux
"Coquille Saint-Jacques, noix et corail, crue",83.0,0.0,0.78,1.31,50.0,0.4,16.0,Produits animaux
"Coquille Saint-Jacques, noix et corail, cuite",110.0,0.0,3.22,1.77,50.0,1.6,17.0,Produits animaux
"Crabe, miettes et ou pattes décortiquées, appertisé, égoutté",111.0,0.33,8.72,1.8,50.0,4.4,18.0,Produits animaux
"Crevette grise, cuite",89.9,0.0,1.47,1.2,50.0,0.7,20.0,Produits animaux
"Crevette, cuite",93.8,0.0,1.87,1.16,50.0,0.9,20.0,Produits animaux
"Escargot, cru",77.9,0.0,1.29,0.92,50.0,0.6,16.0,Produits animaux
"Homard, bouilli/cuit é l'eau",90.9,0.0,0.11,1.32,50.0,0.1,19.0,Produits animaux
Eau de vie,229.0,0.0,0.37,0.0,50.0,0.2,0.0,Boissons
"Homard, cru",85.5,0.0,0.94,1.15,50.0,0.5,19.0,Produits animaux
"Huétre, sans précision, crue",67.2,0.0,3.86,1.91,50.0,1.9,7.0,Produits animaux
"Langoustine, panée, frite",282.0,0.5,29.0,13.6,50.0,14.5,17.0,Produits animaux
"Moule, bouillie/cuite é l'eau",108.0,0.0,5.12,2.09,50.0,2.6,11.9,Produits animaux
"Moule commune, crue",71.8,0.0,2.69,1.82,50.0,1.3,10.5,Produits animaux
"Langouste, crue",86.9,0.0,1.07,1.34,50.0,0.5,19.0,Produits animaux
"Seiche, crue",76.3,0.0,0.51,1.05,50.0,0.3,18.0,Produits animaux
"Clam, Praire ou Palourde, cru",80.5,0.0,2.66,2.65,50.0,1.3,18.0,Produits animaux
"Poulpe, cru",60.1,0.0,0.97,0.5,50.0,0.5,18.0,Produits animaux
"Bulot ou Buccin, cru",131.0,0.0,7.61,0.57,50.0,3.8,18.0,Produits animaux
Gin,265.0,0.0,0.0,0.0,50.0,0.0,0.0,Boissons
"Bulot ou Buccin, cuit",97.7,0.0,2.69,0.47,50.0,1.3,18.0,Produits animaux
"Crevette, crue",99.0,0.0,3.21,0.84,50.0,1.6,20.0,Produits animaux
"Langouste, bouillie/cuite é l'eau",106.0,0.0,1.3,1.52,50.0,0.6,18.0,Produits animaux
Beignet de crevette,222.0,1.0,26.0,10.0,50.0,13.0,20.0,Produits animaux
"Langoustine, crue",89.8,0.0,1.53,0.79,50.0,0.8,18.0,Produits animaux
"Crabe ou Tourteau, bouilli/cuit é l'eau",124.0,0.0,1.79,4.29,50.0,0.9,18.0,Produits animaux
"Moule de Méditerranée, crue",68.7,0.0,2.77,1.67,50.0,1.4,18.0,Produits animaux
"Clam, Praire ou Palourde, bouilli/cuit é l'eau",99.2,0.0,5.33,1.48,50.0,2.7,18.0,Produits animaux
"Moule, appertisée, égouttée",102.0,0.0,5.93,2.2,50.0,3.0,18.0,Produits animaux
Liqueur,328.0,0.0,39.6,0.3,50.0,19.8,0.0,Boissons
"écrevisse, crue",68.3,0.0,0.81,0.64,50.0,0.4,18.0,Produits animaux
"écrevisse, cuite",73.5,0.0,0.56,0.7,50.0,0.3,18.0,Produits animaux
"Crevette rose bouquet, cuite",150.0,0.0,0.0,1.27,50.0,0.0,20.0,Produits animaux
"Huétre creuse, crue",67.2,0.0,3.86,1.91,50.0,1.9,18.0,Produits animaux
"Huétre plate, crue",53.5,0.0,1.16,0.9,50.0,0.6,18.0,Produits animaux
"Calmar ou calamar ou encornet, bouilli/cuit é l'eau",149.0,0.0,1.64,1.4,50.0,0.8,18.0,Produits animaux
"Crevette, surgelée, crue",105.0,0.5,0.74,0.9,50.0,0.4,20.0,Produits animaux
"Crabe, cru",104.0,0.0,0.027,2.86,50.0,0.0,18.0,Produits animaux
Rhum,256.0,0.0,0.0,0.0,50.0,0.0,0.0,Boissons
"Ormeau, cru",99.6,0.0,8.69,0.83,50.0,4.3,18.0,Produits animaux
"Escargot en sauce au beurre persillé, préemballé, cuit",277.0,1.69,2.26,23.7,50.0,1.1,16.0,Produits animaux
Fruits de mer (aliment moyen),104.0,0.00092,3.06,1.76,45.0,1.4,18.0,Produits animaux
