Famille de produits,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Céréales et produits à base de céréales (riz, pâtes, etc)",14 370,14 978,15 509,15 838,16 296,16 485,16 806,17 210,18 478,18 815,19 076,20 146,20 666,21 184,21 445,21 600,22 240,23 186,23 891,24 870,25 314,27 203,29 622,33 310,34 694
Viandes,22 455,23 868,24 597,25 185,25 508,26 056,26 551,27 155,27 834,27 690,28 607,29 450,30 305,31 103,31 111,30 989,30 725,30 574,30 389,30 259,32 812,31 621,31 628,33 716,33 306
Poissons et autres fruits de mer ,5 742,6 009,6 216,6 488,6 472,6 459,6 713,6 863,6 944,7 027,7 255,7 317,7 346,7 362,7 337,7 307,7 485,7 408,7 271,7 309,7 783,7 837,7 513,7 502,7 301
"Lait, produits laitiers divers et œufs ",12 646,13 417,13 934,14 394,14 629,14 751,14 992,15 491,17 075,17 062,17 237,17 922,18 439,18 490,18 579,18 515,18 411,18 608,19 014,19 444,20 621,20 120,21 389,24 539,24 892
Huiles et graisses ,2 575,2 620,2 641,2 660,2 673,2 680,2 786,2 751,2 980,2 907,2 777,2 940,2 994,3 067,3 095,3 093,3 050,3 152,3 307,3 425,3 755,3 538,3 900,4 211,4 338
Fruits et fruits à coque ,5 395,6 026,6 478,6 708,6 917,6 994,7 196,7 335,7 524,7 375,7 896,7 669,8 284,8 744,8 643,9 207,9 898,9 991,10 252,10 371,11 492,11 197,11 799,12 038,12 235
"Légumes, tubercules, bananes plantains, bananes de cuisine et légumes secs ",9 613,10 141,10 595,10 940,10 712,11 040,11 533,11 987,12 168,12 053,13 083,12 808,13 463,14 183,14 047,14 601,15 350,15 425,15 825,16 843,18 124,17 704,18 444,20 004,20 276
"Sucre, confiserie et desserts ",7 049,7 411,7 704,8 280,8 501,8 587,8 642,8 743,9 368,9 471,9 596,10 048,10 422,10 605,10 590,10 814,10 950,11 204,11 375,11 382,11 911,11 930,12 402,13 782,14 103
Plats préparés et autres produits alimentaires ,7 891,8 307,8 721,9 268,9 893,10 265,10 653,11 215,12 040,12 003,12 303,12 662,13 323,13 432,13 443,13 902,14 437,15 107,15 279,15 670,16 627,17 410,18 550,20 066,20 529
Jus de fruits et de légumes ,1 451,1 528,1 587,1 763,1 804,1 946,2 012,2 162,2 356,2 488,2 542,2 732,2 861,2 856,2 760,2 744,2 728,2 812,2 811,2 777,2 758,2 681,2 795,2 899,2 817
Café et succédanés de café ,2 147,2 155,2 185,2 214,2 198,2 244,2 423,2 539,2 614,2 683,2 817,3 109,3 317,3 267,3 251,3 381,3 484,3 653,3 745,3 794,4 079,4 136,4 347,4 731,4 862
"Thé, maté et autres produits d’origine végétale pour tisanes ",321,322,327,331,329,335,362,379,391,401,421,465,496,488,486,505,521,546,560,567,610,618,650,707,727
Eau ,1 531,1 615,1 684,1 926,1 970,2 013,2 043,2 081,2 001,2 017,2 049,2 157,2 184,2 164,2 159,2 271,2 292,2 417,2 503,2 500,2 503,2 434,2 610,2 704,2 660
Sodas,1 020,1 110,1 163,1 306,1 319,1 328,1 389,1 494,1 566,1 699,1 813,1 942,2 076,2 142,2 152,2 218,2 205,2 237,2 296,2 336,2 388,2 487,2 812,3 065,3 046
Autres boissons non alcoolisées ,611,662,693,778,786,798,833,896,943,1 020,1 084,1 161,1 239,1 274,1 275,1 310,1 302,1 323,1 355,1 374,1 402,1 451,1 630,1 771,1 757
Spiritueux et liqueurs ,4 290,4 413,4 569,4 542,4 578,4 572,4 674,4 691,4 703,4 822,5 016,5 060,5 377,5 390,5 402,5 441,5 524,5 440,5 369,5 463,5 803,5 923,5 675,5 675,5 459
Vin,8 617,8 878,9 157,9 064,9 344,9 198,9 263,9 615,9 871,10 173,10 444,10 747,10 914,11 266,11 270,11 322,11 289,11 312,11 309,10 702,10 551,10 603,10 400,10 454,10 227
Bière ,2 301,2 338,2 416,2 566,2 496,2 478,2 498,2 470,2 298,2 386,2 473,2 388,2 473,2 864,3 042,3 251,3 454,3 749,4 061,4 253,4 708,4 937,5 055,5 366,5 354
Autres boissons alcoolisées ,149,152,157,164,162,161,164,163,156,162,169,166,172,191,200,211,223,237,251,262,288,301,304,319,316
