Aliment,Calories,Fibres,Glucides,Gras,ProtÃ©ines,IG,CG,Famille
 Pastis ,274.0,0.0,2.86,0.0,0.0,50.0,1.4,Boissons
" Bigorneau, cuit ",0.0,0.0,0.0,3.5,0.0,50.0,0.0,"viandes, Å“ufs, poissons et assimilÃ©s"
" Calmar ou calamar ou encornet, cru ",77.0,0.0,2.17,1.19,14.4,50.0,1.1,"viandes, Å“ufs, poissons et assimilÃ©s"
" Calmar ou Calamar ou encornet, � la romaine (beignet) ",252.0,1.66,21.2,14.4,9.4,50.0,10.6,"viandes, Å“ufs, poissons et assimilÃ©s"
" Coquille Saint-Jacques, noix et corail, crue ",83.0,0.0,0.78,1.31,17.0,50.0,0.4,"viandes, Å“ufs, poissons et assimilÃ©s"
" Coquille Saint-Jacques, noix et corail, cuite ",110.0,0.0,3.22,1.77,20.3,50.0,1.6,"viandes, Å“ufs, poissons et assimilÃ©s"
" Crabe, miettes et ou pattes d�cortiqu�es, appertis�, �goutt� ",111.0,0.33,8.72,1.8,15.0,50.0,4.4,"viandes, Å“ufs, poissons et assimilÃ©s"
" Crevette grise, cuite ",89.9,0.0,1.47,1.2,18.3,50.0,0.7,"viandes, Å“ufs, poissons et assimilÃ©s"
" Crevette, cuite ",93.8,0.0,1.87,1.16,19.0,50.0,0.9,"viandes, Å“ufs, poissons et assimilÃ©s"
" Escargot, cru ",77.9,0.0,1.29,0.92,16.1,50.0,0.6,"viandes, Å“ufs, poissons et assimilÃ©s"
" Homard, bouilli/cuit � l'eau ",90.9,0.0,0.11,1.32,19.6,50.0,0.1,"viandes, Å“ufs, poissons et assimilÃ©s"
 Eau de vie ,229.0,0.0,0.37,0.0,0.0,50.0,0.2,Boissons
" Homard, cru ",85.5,0.0,0.94,1.15,17.8,50.0,0.5,"viandes, Å“ufs, poissons et assimilÃ©s"
" Hu�tre, sans pr�cision, crue ",67.2,0.0,3.86,1.91,8.6,50.0,1.9,"viandes, Å“ufs, poissons et assimilÃ©s"
" Langoustine, pan�e, frite ",282.0,,29.0,13.6,10.9,50.0,14.5,"viandes, Å“ufs, poissons et assimilÃ©s"
" Moule, bouillie/cuite � l'eau ",108.0,0.0,5.12,2.09,17.2,50.0,2.6,"viandes, Å“ufs, poissons et assimilÃ©s"
" Moule commune, crue ",71.8,0.0,2.69,1.82,11.2,50.0,1.3,"viandes, Å“ufs, poissons et assimilÃ©s"
" Langouste, crue ",86.9,0.0,1.07,1.34,17.6,50.0,0.5,"viandes, Å“ufs, poissons et assimilÃ©s"
" Seiche, crue ",76.3,0.0,0.51,1.05,16.2,50.0,0.3,"viandes, Å“ufs, poissons et assimilÃ©s"
" Clam, Praire ou Palourde, cru ",80.5,0.0,2.66,2.65,11.5,50.0,1.3,"viandes, Å“ufs, poissons et assimilÃ©s"
" Poulpe, cru ",60.1,0.0,0.97,0.5,12.9,50.0,0.5,"viandes, Å“ufs, poissons et assimilÃ©s"
" Bulot ou Buccin, cru ",131.0,0.0,7.61,0.57,23.9,50.0,3.8,"viandes, Å“ufs, poissons et assimilÃ©s"
 Gin ,265.0,0.0,0.0,0.0,0.0,50.0,0.0,Boissons
" Bulot ou Buccin, cuit ",97.7,0.0,2.69,0.47,20.7,50.0,1.3,"viandes, Å“ufs, poissons et assimilÃ©s"
" Crevette, crue ",99.0,0.0,3.21,0.84,19.6,50.0,1.6,"viandes, Å“ufs, poissons et assimilÃ©s"
" Langouste, bouillie/cuite � l'eau ",106.0,0.0,1.3,1.52,21.8,50.0,0.6,"viandes, Å“ufs, poissons et assimilÃ©s"
 Beignet de crevette ,222.0,1.0,26.0,10.0,7.0,50.0,13.0,"viandes, Å“ufs, poissons et assimilÃ©s"
" Langoustine, crue ",89.8,0.0,1.53,0.79,19.1,50.0,0.8,"viandes, Å“ufs, poissons et assimilÃ©s"
" Crabe ou Tourteau, bouilli/cuit � l'eau ",124.0,0.0,1.79,4.29,19.6,50.0,0.9,"viandes, Å“ufs, poissons et assimilÃ©s"
" Moule de M�diterran�e, crue ",68.7,0.0,2.77,1.67,10.6,50.0,1.4,"viandes, Å“ufs, poissons et assimilÃ©s"
" Clam, Praire ou Palourde, bouilli/cuit � l'eau ",99.2,0.0,5.33,1.48,16.1,50.0,2.7,"viandes, Å“ufs, poissons et assimilÃ©s"
" Moule, appertis�e, �goutt�e ",102.0,0.0,5.93,2.2,14.6,50.0,3.0,"viandes, Å“ufs, poissons et assimilÃ©s"
 Liqueur ,328.0,0.0,39.6,0.3,0.0,50.0,19.8,Boissons
" �crevisse, crue ",68.3,0.0,0.81,0.64,14.8,50.0,0.4,"viandes, Å“ufs, poissons et assimilÃ©s"
" �crevisse, cuite ",73.5,0.0,0.56,0.7,16.2,50.0,0.3,"viandes, Å“ufs, poissons et assimilÃ©s"
" Crevette rose bouquet, cuite ",0.0,0.0,0.0,1.27,0.0,50.0,0.0,"viandes, Å“ufs, poissons et assimilÃ©s"
" Hu�tre creuse, crue ",67.2,0.0,3.86,1.91,8.6,50.0,1.9,"viandes, Å“ufs, poissons et assimilÃ©s"
