Famille de produits,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
"Céréales et produits à base de céréales (riz, pâtes, etc)",14 370,14 978,15 509,15 838,16 296,16 485,16 806,17 210,18 478,18 815,19076.0,20146.0,20666.0,21184.0,21445.0,21600.0,22240.0,23186.0,23891.0,24870.0,25314.0,27203.0,29622.0,33310.0,34476.096807686205,36528.82492989213,37764.75820476636,39879.22375320035
Viandes,22 455,23 868,24 597,25 185,25 508,26 056,26 551,27 155,27 834,27 690,28607.0,29450.0,30305.0,31103.0,31111.0,30989.0,30725.0,30574.0,30389.0,30259.0,32812.0,31621.0,31628.0,33716.0,33502.926228379416,34933.71998021075,35838.64580670495,37402.80456132391
Poissons et autres fruits de mer ,5 742,6 009,6 216,6 488,6 472,6 459,6 713,6 863,6 944,7 027,7255.0,7317.0,7346.0,7362.0,7337.0,7307.0,7485.0,7408.0,7271.0,7309.0,7783.0,7837.0,7513.0,7502.0,7374.998671408006,7451.641163393222,7570.982103743934,7687.5826551139235
"Lait, produits laitiers divers et œufs ",12 646,13 417,13 934,14 394,14 629,14 751,14 992,15 491,17 075,17 062,17237.0,17922.0,18439.0,18490.0,18579.0,18515.0,18411.0,18608.0,19014.0,19444.0,20621.0,20120.0,21389.0,24539.0,24989.056274880808,26776.951804452277,27382.707568136677,28892.176485514596
Huiles et graisses ,2 575,2 620,2 641,2 660,2 673,2 680,2 786,2 751,2 980,2 907,2777.0,2940.0,2994.0,3067.0,3095.0,3093.0,3050.0,3152.0,3307.0,3425.0,3755.0,3538.0,3900.0,4211.0,4354.356942203088,4507.940785120234,4627.116221206357,4738.252638863978
Fruits et fruits à coque ,5 395,6 026,6 478,6 708,6 917,6 994,7 196,7 335,7 524,7 375,7896.0,7669.0,8284.0,8744.0,8643.0,9207.0,9898.0,9991.0,10252.0,10371.0,11492.0,11197.0,11799.0,12038.0,12148.42000173176,12514.083570607552,12873.633508117613,13037.929955102753
"Légumes, tubercules, bananes plantains, bananes de cuisine et légumes secs ",9 613,10 141,10 595,10 940,10 712,11 040,11 533,11 987,12 168,12 053,13083.0,12808.0,13463.0,14183.0,14047.0,14601.0,15350.0,15425.0,15825.0,16843.0,18124.0,17704.0,18444.0,20004.0,20149.88730286269,21412.914408028046,22151.34607790893,22830.180914752767
"Sucre, confiserie et desserts ",7 049,7 411,7 704,8 280,8 501,8 587,8 642,8 743,9 368,9 471,9596.0,10048.0,10422.0,10605.0,10590.0,10814.0,10950.0,11204.0,11375.0,11382.0,11911.0,11930.0,12402.0,13782.0,13890.211381458239,14602.653516355544,14745.835115926464,15308.335947857386
Plats préparés et autres produits alimentaires ,7 891,8 307,8 721,9 268,9 893,10 265,10 653,11 215,12 040,12 003,12303.0,12662.0,13323.0,13432.0,13443.0,13902.0,14437.0,15107.0,15279.0,15670.0,16627.0,17410.0,18550.0,20066.0,20625.198545722385,21676.390077518918,22314.55628709819,23358.29393060712
Jus de fruits et de légumes ,1 451,1 528,1 587,1 763,1 804,1 946,2 012,2 162,2 356,2 488,2542.0,2732.0,2861.0,2856.0,2760.0,2744.0,2728.0,2812.0,2811.0,2777.0,2758.0,2681.0,2795.0,2899.0,2888.169076985534,2895.2941257260136,2813.842976615936,2734.2393886375535
Café et succédanés de café ,2 147,2 155,2 185,2 214,2 198,2 244,2 423,2 539,2 614,2 683,2817.0,3109.0,3317.0,3267.0,3251.0,3381.0,3484.0,3653.0,3745.0,3794.0,4079.0,4136.0,4347.0,4731.0,4820.537964138009,5038.9126207934305,5054.415388879208,5183.353912341272
"Thé, maté et autres produits d’origine végétale pour tisanes ",321,322,327,331,329,335,362,379,391,401,421.0,465.0,496.0,488.0,486.0,505.0,521.0,546.0,560.0,567.0,610.0,618.0,650.0,707.0,620.5013920722738,570.8153141967769,452.42599605345913,365.70391917737106
Eau ,1 531,1 615,1 684,1 926,1 970,2 013,2 043,2 081,2 001,2 017,2049.0,2157.0,2184.0,2164.0,2159.0,2271.0,2292.0,2417.0,2503.0,2500.0,2503.0,2434.0,2610.0,2704.0,2760.8921280850636,2736.655043714538,2638.113122208445,2531.718465866256
Sodas,1 020,1 110,1 163,1 306,1 319,1 328,1 389,1 494,1 566,1 699,1813.0,1942.0,2076.0,2142.0,2152.0,2218.0,2205.0,2237.0,2296.0,2336.0,2388.0,2487.0,2812.0,3065.0,3060.138211288635,3123.9695561283843,3098.17758465767,3167.3930697227815
Autres boissons non alcoolisées ,611,662,693,778,786,798,833,896,943,1 020,1084.0,1161.0,1239.0,1274.0,1275.0,1310.0,1302.0,1323.0,1355.0,1374.0,1402.0,1451.0,1630.0,1771.0,1718.0230929730724,1712.5155428366265,1635.0338561162978,1616.6237787538698
Spiritueux et liqueurs ,4 290,4 413,4 569,4 542,4 578,4 572,4 674,4 691,4 703,4 822,5016.0,5060.0,5377.0,5390.0,5402.0,5441.0,5524.0,5440.0,5369.0,5463.0,5803.0,5923.0,5675.0,5675.0,5469.758063581576,5606.617561973435,5627.842866397567,5759.235150471313
Vin,8 617,8 878,9 157,9 064,9 344,9 198,9 263,9 615,9 871,10 173,10444.0,10747.0,10914.0,11266.0,11270.0,11322.0,11289.0,11312.0,11309.0,10702.0,10551.0,10603.0,10400.0,10454.0,10224.250089009109,10050.69418564822,9832.409125375336,9764.45180722858
Bière ,2 301,2 338,2 416,2 566,2 496,2 478,2 498,2 470,2 298,2 386,2473.0,2388.0,2473.0,2864.0,3042.0,3251.0,3454.0,3749.0,4061.0,4253.0,4708.0,4937.0,5055.0,5366.0,5403.230223315915,5583.467012422835,5742.706542145594,5909.072168217747
Autres boissons alcoolisées ,149,152,157,164,162,161,164,163,156,162,169.0,166.0,172.0,191.0,200.0,211.0,223.0,237.0,251.0,262.0,288.0,301.0,304.0,319.0,208.29203208785765,127.24710858030113,1.9238966312989874,-106.12904660455638
